Method,Env,Dim,Scale,Type,Seed,Score
disentangled_dcor,halfcheetah-medium-v2,17,2.0,project,1,39.65040567998505
disentangled_dcor,halfcheetah-medium-v2,17,2.0,project,3,40.15985633034784
disentangled_dcor,halfcheetah-medium-v2,17,2.0,project,2,40.652709971010076
disentangled_dcor,halfcheetah-medium-v2,17,1.0,project,1,40.049014491315845
disentangled_dcor,halfcheetah-medium-v2,17,1.0,project,3,39.37575936637421
disentangled_dcor,halfcheetah-medium-v2,17,1.0,project,2,40.30987343419911
disentangled_dcor,halfcheetah-medium-v2,34,1.0,project,1,39.79821939446054
disentangled_dcor,halfcheetah-medium-v2,34,1.0,project,3,40.87837739474942
disentangled_dcor,halfcheetah-medium-v2,34,1.0,project,2,40.86171659937157
disentangled_dcor,halfcheetah-medium-v2,34,2.0,project,1,40.86915789835883
disentangled_dcor,halfcheetah-medium-v2,34,2.0,project,3,41.24454768096679
disentangled_dcor,halfcheetah-medium-v2,34,2.0,project,2,39.010019691497824
plain,halfcheetah-medium-v2,17,2.0,project,1,40.17600086219093
plain,halfcheetah-medium-v2,17,2.0,project,3,40.87839885801602
plain,halfcheetah-medium-v2,17,2.0,project,2,40.73731788683196
plain,halfcheetah-medium-v2,17,1.0,project,1,40.91293119979218
plain,halfcheetah-medium-v2,17,1.0,project,3,40.65650886524772
plain,halfcheetah-medium-v2,17,1.0,project,2,39.37975587174799
plain,halfcheetah-medium-v2,34,1.0,project,1,41.33290302760945
plain,halfcheetah-medium-v2,34,1.0,project,3,41.083284256312
plain,halfcheetah-medium-v2,34,1.0,project,2,37.45570082368804
plain,halfcheetah-medium-v2,34,2.0,project,1,40.09040151029049
plain,halfcheetah-medium-v2,34,2.0,project,3,40.85837705130871
plain,halfcheetah-medium-v2,34,2.0,project,2,41.70008232105112
raw_noisy,halfcheetah-medium-v2,17,2.0,project,1,39.06584477343283
raw_noisy,halfcheetah-medium-v2,17,2.0,project,3,40.67098571674516
raw_noisy,halfcheetah-medium-v2,17,2.0,project,2,40.403536897736124
raw_noisy,halfcheetah-medium-v2,17,1.0,project,1,40.21180086405501
raw_noisy,halfcheetah-medium-v2,17,1.0,project,3,39.68485217965091
raw_noisy,halfcheetah-medium-v2,17,1.0,project,2,40.02879989225687
raw_noisy,halfcheetah-medium-v2,34,1.0,project,1,39.56455654354487
raw_noisy,halfcheetah-medium-v2,34,1.0,project,3,39.64521260392634
raw_noisy,halfcheetah-medium-v2,34,1.0,project,2,39.35376944311165
raw_noisy,halfcheetah-medium-v2,34,2.0,project,1,40.379028288157585
raw_noisy,halfcheetah-medium-v2,34,2.0,project,3,40.6812310077643
raw_noisy,halfcheetah-medium-v2,34,2.0,project,2,40.55169947354019
disentangled_barlow,halfcheetah-medium-v2,17,2.0,project,1,41.01521010491952
disentangled_barlow,halfcheetah-medium-v2,17,2.0,project,3,40.5741608858778
disentangled_barlow,halfcheetah-medium-v2,17,2.0,project,2,40.07342293353918
disentangled_barlow,halfcheetah-medium-v2,17,1.0,project,1,40.75679798714788
disentangled_barlow,halfcheetah-medium-v2,17,1.0,project,3,40.274867917961075
disentangled_barlow,halfcheetah-medium-v2,17,1.0,project,2,40.23925290909784
disentangled_barlow,halfcheetah-medium-v2,34,1.0,project,1,40.95493041179728
disentangled_barlow,halfcheetah-medium-v2,34,1.0,project,3,40.78311157635568
disentangled_barlow,halfcheetah-medium-v2,34,1.0,project,2,39.82263711542024
disentangled_barlow,halfcheetah-medium-v2,34,2.0,project,1,40.87401463900774
disentangled_barlow,halfcheetah-medium-v2,34,2.0,project,3,40.12944695838935
disentangled_barlow,halfcheetah-medium-v2,34,2.0,project,2,40.34873082888524
disentangled_hsic,halfcheetah-medium-v2,17,2.0,project,1,40.30788976940116
disentangled_hsic,halfcheetah-medium-v2,17,2.0,project,3,40.729819307698406
disentangled_hsic,halfcheetah-medium-v2,17,2.0,project,2,40.236767521693764
disentangled_hsic,halfcheetah-medium-v2,17,1.0,project,1,39.84207449162138
disentangled_hsic,halfcheetah-medium-v2,17,1.0,project,3,40.742143401881954
disentangled_hsic,halfcheetah-medium-v2,17,1.0,project,2,38.831034773207115
disentangled_hsic,halfcheetah-medium-v2,34,1.0,project,1,38.70708472152894
disentangled_hsic,halfcheetah-medium-v2,34,1.0,project,3,37.785098400238915
disentangled_hsic,halfcheetah-medium-v2,34,1.0,project,2,38.747642578586316
disentangled_hsic,halfcheetah-medium-v2,34,2.0,project,1,39.35272442162001
disentangled_hsic,halfcheetah-medium-v2,34,2.0,project,3,38.55753447852747
disentangled_hsic,halfcheetah-medium-v2,34,2.0,project,2,40.06389960603902
disentangled_infonce,halfcheetah-medium-v2,17,2.0,project,1,40.25668486140436
disentangled_infonce,halfcheetah-medium-v2,17,2.0,project,3,39.41124471658034
disentangled_infonce,halfcheetah-medium-v2,17,2.0,project,2,40.29883706178318
disentangled_infonce,halfcheetah-medium-v2,17,1.0,project,1,38.794886267381756
disentangled_infonce,halfcheetah-medium-v2,17,1.0,project,3,37.92562471254834
disentangled_infonce,halfcheetah-medium-v2,17,1.0,project,2,38.954489113627154
disentangled_infonce,halfcheetah-medium-v2,34,1.0,project,1,38.90413192910529
disentangled_infonce,halfcheetah-medium-v2,34,1.0,project,3,40.6660528882773
disentangled_infonce,halfcheetah-medium-v2,34,1.0,project,2,40.235787126163736
disentangled_infonce,halfcheetah-medium-v2,34,2.0,project,1,39.75715483550189
disentangled_infonce,halfcheetah-medium-v2,34,2.0,project,3,40.709511763277106
disentangled_infonce,halfcheetah-medium-v2,34,2.0,project,2,40.25073290687956
disentangled_cov,halfcheetah-medium-v2,17,2.0,project,1,40.51670651164818
disentangled_cov,halfcheetah-medium-v2,17,2.0,project,3,40.228209716286806
disentangled_cov,halfcheetah-medium-v2,17,2.0,project,2,39.98447860919377
disentangled_cov,halfcheetah-medium-v2,17,1.0,project,1,40.555422796793316
disentangled_cov,halfcheetah-medium-v2,17,1.0,project,3,40.45079404385446
disentangled_cov,halfcheetah-medium-v2,17,1.0,project,2,40.31977663471465
disentangled_cov,halfcheetah-medium-v2,34,1.0,project,1,40.70166469663117
disentangled_cov,halfcheetah-medium-v2,34,1.0,project,3,39.424636192981815
disentangled_cov,halfcheetah-medium-v2,34,1.0,project,2,38.88198251165879
disentangled_cov,halfcheetah-medium-v2,34,2.0,project,1,40.80287458926895
disentangled_cov,halfcheetah-medium-v2,34,2.0,project,3,40.225097897916584
disentangled_cov,halfcheetah-medium-v2,34,2.0,project,2,40.136549569736594
disentangled_l1,halfcheetah-medium-v2,17,2.0,project,1,38.80115396209292
disentangled_l1,halfcheetah-medium-v2,17,2.0,project,3,38.620609965768146
disentangled_l1,halfcheetah-medium-v2,17,2.0,project,2,39.11543483883415
disentangled_l1,halfcheetah-medium-v2,17,1.0,project,1,39.152178775965986
disentangled_l1,halfcheetah-medium-v2,17,1.0,project,3,40.28490253245006
disentangled_l1,halfcheetah-medium-v2,17,1.0,project,2,39.4116012654569
disentangled_l1,halfcheetah-medium-v2,34,1.0,project,1,37.29315260528237
disentangled_l1,halfcheetah-medium-v2,34,1.0,project,3,35.19006670702029
disentangled_l1,halfcheetah-medium-v2,34,1.0,project,2,35.157590819230336
disentangled_l1,halfcheetah-medium-v2,34,2.0,project,1,31.903673553383406
disentangled_l1,halfcheetah-medium-v2,34,2.0,project,3,35.47333748734526
disentangled_l1,halfcheetah-medium-v2,34,2.0,project,2,34.39864587988966
